n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
12,80.0,0.0,-1,1.1466293302173214,0,59
12,80.0,1.0,0,1.3338793397342414,2799,59
12,80.0,1.0,1,0.943626554203662,2841,59
12,80.0,1.0,2,1.074094069478823,3531,59
12,80.0,1.0,-1,1.1171999878055754,0,59
12,80.0,4.0,0,1.3054633993848415,2799,59
12,80.0,4.0,1,0.9846928712466855,2841,59
12,80.0,4.0,2,1.0697852848718432,3531,59
12,80.0,4.0,-1,1.1199805185011236,0,59
12,80.0,16.0,0,1.233442124268071,2799,59
12,80.0,16.0,1,0.9779227892870466,2841,59
12,80.0,16.0,2,1.057381512567892,3531,59
12,80.0,16.0,-1,1.0895821420410032,0,59
12,320.0,0.0,0,1.2141708121630939,2799,59
12,320.0,0.0,1,1.2552485315505177,2841,59
12,320.0,0.0,2,1.4659845635423032,3531,59
12,320.0,0.0,-1,1.3118013024186383,0,59
12,320.0,1.0,0,1.2398617971311752,2799,59
12,320.0,1.0,1,1.3110161042194106,2841,59
12,320.0,1.0,2,1.5209265291732486,3531,59
12,320.0,1.0,-1,1.3572681435079448,0,59
12,320.0,4.0,0,1.267241790825224,2799,59
12,320.0,4.0,1,1.3977953592243324,2841,59
12,320.0,4.0,2,1.603808276711198,3531,59
12,320.0,4.0,-1,1.4229484755869182,0,59
12,320.0,16.0,0,1.3395716328602114,2799,59
12,320.0,16.0,1,1.4692061916295338,2841,59
12,320.0,16.0,2,1.6867577843695032,3531,59
12,320.0,16.0,-1,1.4985118696197492,0,59
12,1280.0,0.0,0,2.01455395728237,2799,59
12,1280.0,0.0,1,2.1921894677253015,2841,59
12,1280.0,0.0,2,2.5177142652230287,3531,59
12,1280.0,0.0,-1,2.241485896743567,0,59
12,1280.0,1.0,0,2.027681412720781,2799,59
12,1280.0,1.0,1,2.231748398416787,2841,59
12,1280.0,1.0,2,2.53587021483908,3531,59
12,1280.0,1.0,-1,2.265100008658883,0,59
12,1280.0,4.0,0,2.0539022691662447,2799,59
12,1280.0,4.0,1,2.283119241781511,2841,59
12,1280.0,4.0,2,2.563097750532278,3531,59
12,1280.0,4.0,-1,2.300039753826678,0,59
12,1280.0,16.0,0,2.083928357490426,2799,59
12,1280.0,16.0,1,2.3264334071490897,2841,59
12,1280.0,16.0,2,2.5903325213664194,3531,59
12,1280.0,16.0,-1,2.3335647620019784,0,59
6,20.0,0.0,0,1.904443447866906,2799,60
6,20.0,0.0,1,1.2681734494201706,2838,60
6,20.0,0.0,2,1.2402900820912262,3399,60
6,20.0,0.0,-1,1.4709689931261007,0,60
6,20.0,1.0,0,1.8834138013197568,2799,60
6,20.0,1.0,1,1.246404616835764,2838,60
6,20.0,1.0,2,1.233676730795085,3399,60
6,20.0,1.0,-1,1.4544983829835354,0,60
6,20.0,4.0,0,1.8482265461128748,2799,60
6,20.0,4.0,1,1.1945894160119606,2838,60
6,20.0,4.0,2,1.2050049099566906,3399,60
6,20.0,4.0,-1,1.415940290693842,0,60
6,20.0,16.0,0,1.8078539861584548,2799,60
6,20.0,16.0,1,1.1508640798129213,2838,60
6,20.0,16.0,2,1.157688816758646,3399,60
6,20.0,16.0,-1,1.372135627576674,0,60
6,80.0,0.0,0,1.5738059086211904,2799,60
6,80.0,0.0,1,1.121071891631233,2838,60
